DATE,PM2.5(ug/m3),PM10(ug/m3),PARTICLES(per/L),CO2(ppm),HCHO(mg/m3),TEMPERATURE,HUMIDITY(%),TEMPUNIT,LATITUDE,LONGITUDE,GROUP,DEVICE,LOCATION_TYPE,PM2.5_VAR(ug/m3),PM10_VAR(ug/m3),CO2_VAR(ppm),HCHO_VAR(mg/m3),TEMPERATURE_VAR,HUMIDITY_VAR(%),UID,NOTES
2026-06-10 10:08:46,6.1,8.8,1097,432,0.016,21.0,54.6,C,43.785813,-79.190365,Group 1,UTSC-AQMS-01,outdoor,1.1,2.9,18,0.009,0.2,1.7,UTSC-AQMS-01-1000-0,north woods
2026-06-10 10:09:45,6.1,10.0,1003,418,0.035,20.9,56.3,C,43.786013,-79.190519,Group 1,UTSC-AQMS-01,outdoor,1.2,1.1,8,0.007,0.3,3.9,UTSC-AQMS-01-1001-0,north woods
2026-06-10 10:10:11,5.8,8.5,736,415,0.01,21.5,61.0,C,43.785801,-79.190340,Group 1,UTSC-AQMS-01,outdoor,1.7,2.4,11,0.009,0.3,2.2,UTSC-AQMS-01-1002-0,north woods
2026-06-10 10:11:33,5.4,7.9,645,435,0.028,19.8,56.7,C,43.785879,-79.189883,Group 1,UTSC-AQMS-01,outdoor,1.4,1.3,7,0.007,0.2,2.7,UTSC-AQMS-01-1003-0,north woods
2026-06-10 10:12:27,5.8,9.4,803,424,0.014,21.7,57.2,C,43.785726,-79.189857,Group 1,UTSC-AQMS-01,outdoor,1.8,1.5,6,0.004,0.2,3.0,UTSC-AQMS-01-1004-0,north woods
2026-06-10 10:13:41,5.9,9.3,1001,418,0.016,20.7,53.2,C,43.785656,-79.189705,Group 1,UTSC-AQMS-01,outdoor,0.7,2.0,8,0.008,0.2,2.1,UTSC-AQMS-01-1005-0,north woods
2026-06-10 10:14:27,3.2,4.6,409,412,0.025,20.3,56.5,C,43.785604,-79.189594,Group 1,UTSC-AQMS-01,outdoor,2.0,2.6,19,0.006,0.2,1.3,UTSC-AQMS-01-1006-0,north woods
2026-06-10 10:15:39,3.5,5.4,545,419,0.003,21.1,55.9,C,43.785566,-79.189275,Group 1,UTSC-AQMS-01,outdoor,1.4,2.2,18,0.003,0.2,1.1,UTSC-AQMS-01-1007-0,north woods
2026-06-10 10:16:25,6.2,9.0,968,418,0.009,20.7,52.5,C,43.785818,-79.189123,Group 1,UTSC-AQMS-01,outdoor,1.4,1.0,24,0.006,0.3,1.2,UTSC-AQMS-01-1008-0,north woods
2026-06-10 10:17:17,8.0,13.0,1187,435,0.01,20.7,55.6,C,43.785879,-79.188596,Group 1,UTSC-AQMS-01,outdoor,1.7,2.8,8,0.006,0.1,3.0,UTSC-AQMS-01-1009-0,north woods
2026-06-10 10:18:01,7.7,11.1,1347,409,0.008,20.4,66.5,C,43.785457,-79.188648,Group 1,UTSC-AQMS-01,outdoor,1.7,2.6,11,0.01,0.2,2.5,UTSC-AQMS-01-1010-0,north woods
2026-06-10 10:19:13,6.9,9.8,1010,407,0.022,22.3,58.6,C,43.785406,-79.188931,Group 1,UTSC-AQMS-01,outdoor,1.3,1.6,20,0.007,0.2,1.3,UTSC-AQMS-01-1011-0,north woods
2026-06-10 10:20:53,6.1,9.2,783,461,0.018,20.7,63.8,C,43.785636,-79.188627,Group 1,UTSC-AQMS-01,outdoor,1.8,1.4,11,0.008,0.4,2.5,UTSC-AQMS-01-1012-0,north woods
2026-06-10 10:21:25,10.3,14.9,1652,393,0.019,20.3,53.1,C,43.785277,-79.188446,Group 1,UTSC-AQMS-01,outdoor,1.7,2.4,20,0.003,0.1,3.8,UTSC-AQMS-01-1013-0,north woods
2026-06-10 10:22:11,9.8,16.4,1743,427,0.012,20.8,59.0,C,43.785166,-79.188412,Group 1,UTSC-AQMS-01,outdoor,1.5,1.2,8,0.005,0.4,2.8,UTSC-AQMS-01-1014-0,north woods
2026-06-10 10:23:20,7.6,13.1,925,452,0.011,20.5,49.4,C,43.785046,-79.188252,Group 1,UTSC-AQMS-01,outdoor,1.4,2.7,17,0.005,0.2,2.3,UTSC-AQMS-01-1015-0,north woods
