DATE,PM2.5(ug/m3),PM10(ug/m3),PARTICLES(per/L),CO2(ppm),HCHO(mg/m3),TEMPERATURE,HUMIDITY(%),TEMPUNIT,LATITUDE,LONGITUDE,GROUP,DEVICE,LOCATION_TYPE,PM2.5_VAR(ug/m3),PM10_VAR(ug/m3),CO2_VAR(ppm),HCHO_VAR(mg/m3),TEMPERATURE_VAR,HUMIDITY_VAR(%),UID,NOTES
2026-06-10 10:08:22,23.2,40.5,3600,1169,0.054,24.3,45.3,C,43.784603,-79.186889,Group 5,UTSC-AQMS-05,indoor,1.9,1.8,12,0.006,0.3,2.4,UTSC-AQMS-05-1000-4,science wing
2026-06-10 10:09:55,19.3,29.8,2761,1176,0.054,24.3,45.4,C,43.784577,-79.187075,Group 5,UTSC-AQMS-05,indoor,0.8,2.1,20,0.004,0.3,3.8,UTSC-AQMS-05-1001-4,science wing
2026-06-10 10:10:56,24.5,43.5,3514,998,0.053,23.5,42.6,C,43.784661,-79.186782,Group 5,UTSC-AQMS-05,indoor,1.3,1.1,20,0.009,0.2,2.4,UTSC-AQMS-05-1002-4,science wing
2026-06-10 10:11:40,19.7,34.4,2798,1057,0.062,23.1,43.4,C,43.784578,-79.186788,Group 5,UTSC-AQMS-05,indoor,1.2,2.1,24,0.01,0.4,1.6,UTSC-AQMS-05-1003-4,science wing
2026-06-10 10:12:56,16.3,28.1,2429,917,0.03,22.7,49.9,C,43.784415,-79.186768,Group 5,UTSC-AQMS-05,indoor,1.1,1.2,21,0.009,0.2,1.9,UTSC-AQMS-05-1004-4,science wing
2026-06-10 10:13:22,27.8,44.1,4485,851,0.053,23.5,38.7,C,43.784942,-79.186759,Group 5,UTSC-AQMS-05,indoor,0.6,1.9,15,0.004,0.1,1.6,UTSC-AQMS-05-1005-4,science wing
2026-06-10 10:14:53,18.1,28.2,3048,1192,0.066,24.0,55.8,C,43.784295,-79.186860,Group 5,UTSC-AQMS-05,indoor,1.1,1.9,6,0.006,0.4,3.9,UTSC-AQMS-05-1006-4,science wing
2026-06-10 10:15:38,24.7,43.6,3035,1023,0.044,23.8,52.7,C,43.784714,-79.186743,Group 5,UTSC-AQMS-05,indoor,0.7,2.1,23,0.007,0.2,2.3,UTSC-AQMS-05-1007-4,science wing
2026-06-10 10:16:32,26.3,38.8,3609,803,0.076,24.5,48.8,C,43.784843,-79.186868,Group 5,UTSC-AQMS-05,indoor,2.0,2.7,24,0.003,0.3,2.6,UTSC-AQMS-05-1008-4,science wing
2026-06-10 10:17:49,26.1,43.9,3883,909,0.058,22.1,45.4,C,43.784732,-79.186448,Group 5,UTSC-AQMS-05,indoor,0.6,1.2,21,0.006,0.4,2.8,UTSC-AQMS-05-1009-4,science wing
2026-06-10 10:18:33,20.1,36.1,2681,926,0.067,22.4,49.7,C,43.784625,-79.186361,Group 5,UTSC-AQMS-05,indoor,0.7,1.1,9,0.007,0.4,2.6,UTSC-AQMS-05-1010-4,science wing
2026-06-10 10:19:02,23.8,39.1,4083,1114,0.076,22.8,53.9,C,43.784743,-79.186297,Group 5,UTSC-AQMS-05,indoor,1.2,2.9,13,0.008,0.3,1.5,UTSC-AQMS-05-1011-4,science wing
2026-06-10 10:20:49,27.6,43.5,3696,1035,0.069,23.3,41.3,C,43.785019,-79.186301,Group 5,UTSC-AQMS-05,indoor,1.2,2.0,15,0.005,0.4,2.5,UTSC-AQMS-05-1012-4,science wing
2026-06-10 10:21:06,29.0,47.5,3874,931,0.063,25.4,51.1,C,43.784991,-79.186397,Group 5,UTSC-AQMS-05,indoor,1.8,2.0,6,0.009,0.3,3.3,UTSC-AQMS-05-1013-4,science wing
2026-06-10 10:22:35,32.1,53.0,4515,996,0.072,22.9,41.6,C,43.785075,-79.186243,Group 5,UTSC-AQMS-05,indoor,1.7,2.0,20,0.006,0.2,3.2,UTSC-AQMS-05-1014-4,science wing
2026-06-10 10:23:25,24.5,41.6,4255,929,0.085,22.3,43.4,C,43.784853,-79.185964,Group 5,UTSC-AQMS-05,indoor,0.8,1.6,16,0.009,0.3,3.1,UTSC-AQMS-05-1015-4,science wing
2026-06-10 10:24:08,20.7,30.2,2821,870,0.06,23.0,40.7,C,43.784710,-79.185953,Group 5,UTSC-AQMS-05,indoor,1.2,2.6,20,0.009,0.2,3.5,UTSC-AQMS-05-1016-4,science wing
2026-06-10 10:25:04,22.7,36.0,3253,676,0.059,25.1,45.5,C,43.784765,-79.185817,Group 5,UTSC-AQMS-05,indoor,0.7,1.9,11,0.005,0.2,3.3,UTSC-AQMS-05-1017-4,science wing
2026-06-10 10:26:21,21.6,37.7,3886,593,0.057,23.3,43.3,C,43.784771,-79.185764,Group 5,UTSC-AQMS-05,indoor,0.6,1.0,15,0.006,0.2,2.7,UTSC-AQMS-05-1018-4,science wing
